"index" "arrond" "popsize" "samplesize"
2 11 931567 455
3 12 306413 152
4 13 407672 205
1 21 811076 419
14 23 560138 276
15 24 458265 216
24 25 352018 165
16 31 271437 139
17 32 48082 23
18 33 104320 66
19 34 277786 114
20 35 142946 78
21 36 140684 77
22 37 88034 45
23 38 56751 NA
8 41 262337 124
9 42 186553 88
10 43 79428 34
11 44 496608 216
12 45 114390 43
13 46 224356 111
25 51 79372 33
26 52 420214 211
27 53 249153 109
28 54 70016 50
29 55 174142 93
30 56 146253 75
31 57 140673 59
32 61 100543 40
33 62 584398 270
34 63 266334 130
35 64 68767 NA
5 71 384503 186
6 72 220231 86
7 73 190051 86
36 81 52301 26
37 82 41103 22
38 83 50911 NA
39 84 55743 28
40 85 48692 32
41 91 100298 45
42 92 283793 142
43 93 61733 37
