"y" "n" "arrond" "wf" "wn"
1 18 11 1467.299 0.703
3 17 11 1467.299 0.703
3 21 11 1642.597 0.787
4 14 11 1642.597 0.787
2 19 11 1743.63 0.835
7 21 11 1743.63 0.835
10 23 11 1504.39 0.721
7 15 11 1751.277 0.839
5 14 11 1993.561 0.955
15 23 11 1993.561 0.955
3 10 11 3033.947 1.454
1 10 11 3033.947 1.454
3 11 11 2943.801 1.41
2 4 11 3823.52 1.832
5 9 11 3497.566 1.676
2 3 11 3497.566 1.676
4 7 11 4035.386 1.933
1 1 11 4035.386 1.933
2 15 11 1559.968 0.747
2 17 11 1559.968 0.747
1 10 11 1432.669 0.686
2 14 11 1432.669 0.686
5 17 11 1574.721 0.754
4 21 11 1574.721 0.754
4 20 11 1453.809 0.697
10 23 11 1683.649 0.807
3 15 11 1907.166 0.914
11 23 11 1907.166 0.914
3 8 11 2968.069 1.422
2 8 11 2968.069 1.422
2 6 11 3407.774 1.633
0 1 11 6140.925 2.942
5 6 11 5771.762 2.765
3 3 11 5771.762 2.765
4 5 11 5424.23 2.599
2 3 11 5424.23 2.599
0 2 12 1426.516 0.673
0 8 12 1426.516 0.673
1 6 12 1596.941 0.754
1 6 12 1596.941 0.754
0 7 12 1704.718 0.804
1 5 12 1704.718 0.804
2 6 12 1470.818 0.694
1 8 12 1782.231 0.841
2 6 12 2028.798 0.957
3 5 12 2028.798 0.957
1 5 12 3009.381 1.42
0 4 12 3009.381 1.42
2 3 12 2919.966 1.378
1 1 12 3778.934 1.783
1 3 12 3456.781 1.631
2 2 12 3456.781 1.631
1 5 12 1493.988 0.705
0 7 12 1493.988 0.705
1 6 12 1372.074 0.647
1 7 12 1372.074 0.647
0 7 12 1563.601 0.738
2 7 12 1563.601 0.738
0 3 12 1443.542 0.681
2 6 12 1708.938 0.806
0 4 12 1935.813 0.913
2 6 12 1935.813 0.913
0 4 12 2878.002 1.358
0 1 12 2878.002 1.358
1 3 12 3304.364 1.559
0 2 12 5909.815 2.789
1 3 12 5554.545 2.621
0 2 12 5554.545 2.621
1 2 12 5220.092 2.463
1 7 13 1434.591 0.748
2 8 13 1434.591 0.748
2 8 13 1605.981 0.837
4 10 13 1605.981 0.837
3 7 13 1818.186 0.948
4 10 13 1818.186 0.948
5 11 13 1568.717 0.818
5 12 13 1879.963 0.98
6 11 13 2140.05 1.115
4 7 13 2140.05 1.115
3 5 13 3056.153 1.593
3 4 13 3056.153 1.593
